rel_time,ID,date,time,dimension,state,substate,controllerleftclick,controllerrightclick,coloredcube,stimulus,2d_x,2d_y,playerlocationX,playerlocationY,playerlocationZ,playerrotationRoll,playerrotationPitch,playerrotationYaw,raydistance,raylocationX,raylocationY,raylocationZ,rayimpactpointX,rayimpactpointY,rayimpactpointZ,rayhitcomponent,rayscreenlocationX,rayscreenlocationX.1,combined.convergence_distance_mm,combined.convergence_distance_validity,combined.eye_data.eye_openness,combined.gaze_direction_normalized.X,combined.gaze_direction_normalized.Y,combined.gaze_direction_normalized.Z,combined.gaze_origin_mm.X,combined.gaze_origin_mm.Y,combined.gaze_origin_mm.Z,combined.pupil_diameter_mm,combined.pupil_position_in_sensor_area.X,combined.pupil_position_in_sensor_area.Y,left.eye_openness,left.gaze_direction_normalized.X,left.gaze_direction_normalized.Y,left.gaze_direction_normalized.Z,left.gaze_origin_mm.X,left.gaze_origin_mm.Y,left.gaze_origin_mm.Z,left.pupil_diameter_mm,left.pupil_position_in_sensor_area.X,left.pupil_position_in_sensor_area.Y,right.eye_openness,right.gaze_direction_normalized.X,right.gaze_direction_normalized.Y,right.gaze_direction_normalized.Z,right.gaze_origin_mm.X,right.gaze_origin_mm.Y,right.gaze_origin_mm.Z,right.pupil_diameter_mm,right.pupil_position_in_sensor_area.X,right.pupil_position_in_sensor_area.Y,left.eye_wide,right.eye_wide
0.0,181,2021.11.26,14.25.23.259,2,0,0,0,0,,0,,,14.987784,5.551445,119.616989,1.206672,4.967801,8.201862,71.203049,85.197807,15.671192,125.782883,85.197792,15.671191,125.782883,BP_Monitor_C_2147482164.StaticMeshComponent0 monitor,2524.157959,2524.157959,0.0,0,0.0,-0.091873,0.146439,0.98494,-32.923355,3.786911,-30.047165,0.0,0.0,0.0,1.0,-0.137817,0.055344,0.988907,28.7173,1.563934,-23.428757,5.775269,0.615256,0.459524,1.0,-0.091644,0.146851,0.984894,-33.210464,3.797272,-30.078003,5.335617,0.640666,0.427822,0.260482,0.260482
0.007,181,2021.11.26,14.25.23.266,2,0,0,0,0,,0,,,14.987784,5.551445,119.616989,1.206672,4.967801,8.201862,74.266876,85.1978,22.701479,136.704956,85.197792,22.701479,136.704956,BP_Monitor_C_2147482164.StaticMeshComponent0 monitor,2328.141113,2328.141113,0.0,0,0.0,-0.084305,0.146439,0.985611,-32.815979,3.768845,-29.997025,0.0,0.0,0.0,1.0,-0.13649,0.054443,0.989136,28.726547,1.565674,-23.429077,5.801865,0.614563,0.459648,1.0,-0.083984,0.147003,0.98555,-33.192581,3.782333,-30.037216,5.358826,0.638695,0.427959,0.277135,0.277135
0.049,181,2021.11.26,14.25.23.308,2,0,0,0,0,,0,,,14.983615,5.670869,119.610619,1.2404,4.915748,8.863576,74.326912,85.197792,23.128723,136.630661,85.197792,23.128721,136.630661,BP_Monitor_C_2147482164.StaticMeshComponent0 monitor,2340.357666,2340.357666,0.0,0,0.0,-0.086807,0.115173,0.989532,-10.358139,2.956161,-27.485321,0.0,0.0,0.0,1.0,-0.128693,0.055573,0.990112,28.766769,1.565414,-23.434006,5.867905,0.611207,0.459324,1.0,-0.062271,0.149536,0.986786,-33.091629,3.764267,-29.83934,5.273514,0.631115,0.426366,0.282423,0.282423
0.067,181,2021.11.26,14.25.23.326,2,0,0,0,0,,0,,,14.977368,5.764079,119.617081,1.191243,4.891884,9.319719,73.992577,85.197792,23.909042,134.271576,85.197792,23.909042,134.271576,BP_Monitor_C_2147482164.StaticMeshComponent0 monitor,2336.458496,2336.458496,0.0,0,0.0,-0.097229,0.093246,0.990875,3.287949,2.511368,-26.178635,0.0,0.0,0.0,1.0,-0.127029,0.056564,0.99028,28.786087,1.566788,-23.457397,5.891449,0.610136,0.4592,1.0,-0.054337,0.145203,0.9879,-33.091736,3.859039,-30.061188,5.290771,0.630037,0.425774,0.256886,0.256886
0.096,181,2021.11.26,14.25.23.355,2,0,0,0,0,,0,828.985291,697.797607,14.976356,5.845189,119.612411,1.187213,4.884282,9.671705,73.407562,84.639267,25.027699,132.565414,84.639275,25.0277,132.565414,A_StateManager_2.ScreenWidget,2354.441162,2354.441162,0.0,0,0.0,-0.096664,0.08992,0.991241,7.500153,2.372345,-25.789673,0.0,0.0,0.0,1.0,-0.123611,0.056747,0.990692,28.819595,1.577774,-23.483215,5.894608,0.608245,0.459003,1.0,-0.044983,0.152481,0.987274,-33.020081,3.882507,-30.17337,5.283234,0.62612,0.424685,0.214956,0.214956
0.129,181,2021.11.26,14.25.23.388,2,0,0,0,0,,0,847.027771,675.08905,14.958772,5.889821,119.590614,1.214972,4.805065,9.711972,73.364571,84.639267,25.076225,132.194977,84.639267,25.076227,132.194977,A_StateManager_2.ScreenWidget,2340.752197,2340.752197,0.0,0,0.0,-0.108185,0.072098,0.991501,17.577988,2.046783,-24.815262,0.0,0.0,0.0,1.0,-0.122742,0.055038,0.990906,28.882843,1.628296,-23.589188,5.903336,0.606052,0.458651,1.0,-0.042404,0.147919,0.988083,-32.974106,3.918106,-30.297897,5.270874,0.624235,0.425305,0.195212,0.195212
0.164,181,2021.11.26,14.25.23.423,2,0,0,0,0,,0,847.721008,669.797058,14.980474,5.902648,119.566536,1.316105,4.685455,9.495826,73.252266,84.639267,25.619247,130.738098,84.639267,25.619246,130.738098,A_StateManager_2.ScreenWidget,2354.393311,2354.393311,0.0,0,0.0,0.092957,-0.012299,0.99559,-32.088547,3.568481,-31.111145,0.0,0.0,0.0,1.0,-0.048401,-0.059052,0.99707,29.529846,2.145462,-27.175369,5.603821,0.56948,0.500539,1.0,0.092957,-0.012299,0.99559,-32.088547,3.568481,-31.111145,4.987717,0.571174,0.471635,0.176137,0.176137
0.196,181,2021.11.26,14.25.23.455,2,0,0,0,0,,0,855.478516,648.984497,15.0058,5.901217,119.525467,1.384549,4.446665,9.127459,69.934097,84.639282,10.50811,124.078674,84.639282,10.50811,124.078674,A_StateManager_2.ScreenWidget,1920.002808,1920.002808,0.0,0,0.0,0.117477,-0.074951,0.990234,-31.891098,3.440567,-31.636703,0.0,0.0,0.0,1.0,-0.027802,-0.106445,0.993927,29.747589,1.950668,-27.111847,5.599854,0.55729,0.518406,1.0,0.117477,-0.074951,0.990234,-31.891098,3.440567,-31.636703,4.972717,0.560708,0.491726,0.158621,0.158621
0.229,181,2021.11.26,14.25.23.488,2,0,0,0,0,,0,639.605103,553.849915,15.031653,5.886984,119.501472,1.498467,4.288655,8.877204,69.653824,84.639282,8.422859,119.543976,84.639282,8.422859,119.543976,A_StateManager_2.ScreenWidget,1871.480469,1871.480469,0.0,0,0.0,0.126236,-0.071503,0.98941,-32.021317,3.35321,-31.263748,0.0,0.0,0.0,1.0,-0.030457,-0.098526,0.994659,29.774689,2.072739,-27.450027,5.527405,0.557317,0.515513,1.0,0.126266,-0.071503,0.98941,-32.029877,3.353394,-31.264282,4.868988,0.563535,0.490662,0.181675,0.181675
0.263,181,2021.11.26,14.25.23.522,2,0,0,0,0,,0,609.815796,489.068481,15.051519,5.893767,119.494736,1.548352,4.248227,8.760851,69.610909,84.639282,7.674319,119.723251,84.639282,7.674319,119.723251,A_StateManager_2.ScreenWidget,1858.246826,1858.246826,0.0,0,0.0,0.057144,-0.080063,0.995148,-6.089279,2.785126,-29.493179,0.0,0.0,0.0,1.0,-0.030075,-0.094437,0.995071,29.765808,2.071136,-27.413574,5.510956,0.557545,0.51422,1.0,0.120163,-0.069244,0.990326,-32.106857,3.303223,-31.002228,4.847717,0.566989,0.489568,0.175321,0.175321
