CASE;SERIAL;REF;QUESTNNR;MODE;STARTED;ID01_01;ID06;ID10;ID11;ID12;ID13;SD01;SD02_01;SD06;SD06_01;SD06_02;SD06_03;SD06_04;SD06_04a;SD03;SD04;SD05_01;SD07_01;SD08;SD09;SD10_01;SD11;SD12;SD12_01;SD12_02;SD12_03;SD12_04;MU01_01;MU01_02;MU01_03;MU01_04;MU01_05;MU01_06;MU01_07;MU01_08;MU01_09;MU01_10;MU01_11;MU01_12;MU01_13;MU01_14;MU01_15;MU01_16;MU02_01;MU02_02;MU02_03;MU02_04;MU02_05;MU02_06;MU02_07;MU02_08;PS06_01;PS06_02;PS06_03;PS06_04;PS06_05;PS06_06;PS06_07;PS06_08;PS06_09;PS06_10;PS06_11;PS06_12;PS06_13;PS06_14;PS06_15;PS06_16;PS06_17;PS06_18;PS06_19;PS06_20;PS07_01;PS07_02;PS07_03;PS07_04;PS07_05;PS07_06;PS07_07;PS07_08;PS07_09;PS07_10;PS07_11;PS07_12;PS07_13;PS07_14;PS07_15;PS07_16;PS07_17;PS07_18;PS07_19;PS07_20;PS08_01;PS08_02;PS08_03;PS08_04;PS08_05;PS08_06;PS08_07;PS08_08;PS08_09;PS08_10;PS08_11;PS08_12;PS08_13;PS08_14;PS08_15;PS08_16;PS08_17;PS08_18;PS08_19;PS08_20;MC01_01;MC01_02;MC01_03;MC01_04;MC02_01;IN01_01;IN01_02;IN01_03;IN01_04;ST01_01;ST01_02;ST01_03;ST01_04;ST01_05;ST01_06;ST01_07;ST01_08;ST01_09;ST01_10;ST01_11;ST02_01;TIME001;TIME002;TIME003;TIME004;TIME005;TIME006;TIME007;TIME008;TIME009;TIME010;TIME011;TIME012;TIME013;TIME014;TIME_SUM;MAILSENT;LASTDATA;FINISHED;Q_VIEWER;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI;DEG_TIME
3;;;base;interview;30.11.2021 10:52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;30.11.2021 10:52;0;0;0;0;;;;100
4;;;base;interview;30.11.2021 14:48;Test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31;;;;;;;;;;;;;;31;;30.11.2021 14:48;0;0;1;1;0;0;0,61;0
5;;;base;interview;30.11.2021 14:51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;30.11.2021 14:51;0;0;0;0;;;;100
6;;;base;interview;01.12.2021 13:47;208;-9;1;1;1;1;1;23;1;1;2;1;1;;2;5;Mathematical Physics;91%;2;1;1,3;1;1;2;1;1;1;6;2;2;1;6;2;2;2;7;7;1;1;2;2;2;1;4;3;2;3;3;3;3;3;4;4;2;2;5;4;4;4;4;4;2;2;4;4;4;3;2;4;4;4;4;2;4;2;2;3;4;2;4;2;4;4;4;4;4;3;2;4;4;4;2;2;4;4;1;2;2;2;2;2;2;4;4;4;1;3;4;2;2;4;3;3;3;2;6;3;3;3;3;12;6;12;2;2;2;13;10;4;5;12;;12;118;10;37;55;55;41;68;58;45;450;1333;114;36;1199;;01.12.2021 14:27;1;0;14;14;2;0;1,52;35
7;;;base;interview;01.12.2021 14:30;209;-9;1;1;1;1;2;23;2;1;2;1;2;Tamil;2;5;Mathematics;91;3;1;100;1;1;2;1;1;1;7;1;1;1;4;2;1;1;7;7;1;1;6;4;1;1;1;1;1;3;2;3;3;3;2;4;1;4;4;4;5;3;4;4;2;2;4;1;5;4;2;5;3;3;4;3;3;4;1;4;5;2;4;3;4;3;5;1;4;2;3;3;2;5;2;1;4;4;5;4;4;1;4;3;3;4;4;3;1;2;2;1;3;2;4;4;3;2;5;4;4;4;4;1;1;13;1;1;1;3;1;5;1;9;I can not visualize (aphantasia), so I looked at one cube as an anchor and tried seeing if the images match ;11;263;23;40;38;55;39;66;59;70;93;1778;248;46;1151;;01.12.2021 15:17;1;0;14;14;1;0;1,27;47
8;;;base;interview;02.12.2021 07:53;212;-9;1;1;1;1;2;25;1;1;2;1;1;;2;5;Neural Information Processing;A;2;1;9;1;1;2;1;1;1;6;2;1;1;3;1;1;4;7;7;1;2;4;1;1;1;2;3;2;3;1;3;3;3;4;5;2;4;5;3;5;5;4;5;2;3;4;4;4;4;5;5;4;4;4;3;4;5;4;3;5;4;2;5;4;4;5;4;5;4;3;4;4;5;4;4;5;4;2;4;2;1;3;2;2;4;5;4;2;4;4;4;4;4;3;4;3;2;8;3;3;3;3;9;7;11;4;2;5;9;3;3;1;9;Check if they are mirror Images of each other;59;549;44;29;49;94;58;101;115;118;1649;127;189;51;2905;;02.12.2021 08:47;1;0;14;14;1;0;0,85;4
9;;;base;interview;02.12.2021 08:54;213;-9;1;1;1;1;2;37;1;1;2;1;1;;2;7;Archaeology;14.75 out of 20;3;1;18 out of 20;1;1;2;1;1;1;7;4;1;1;7;4;1;3;6;7;1;3;6;4;3;3;3;3;3;4;4;4;3;4;5;5;1;4;4;4;5;2;3;5;5;1;5;1;4;4;1;4;3;4;3;1;3;4;2;4;5;1;5;1;3;5;2;2;5;2;1;4;2;3;3;3;5;5;1;2;1;2;3;1;2;5;2;2;3;4;5;1;4;4;4;4;4;1;7;4;4;3;4;11;5;13;3;1;10;13;5;5;3;13;No , all strategies which i used are mentioned;31;291;28;44;49;117;84;120;127;165;2640;102;165;26;3950;;02.12.2021 10:01;1;0;14;14;1;0;0,88;5
10;;;base;interview;06.12.2021 10:01;103;-9;1;1;1;1;1;22;3;2;2;1;2;Green;1;4;Philosophy of Science (Hauptfach), Biology (Nebenfach);19/20;2;2;9/10;1;2;2;1;2;1;5;3;1;2;3;4;1;1;3;7;1;1;4;4;2;1;3;3;4;4;2;4;4;4;4;5;3;2;4;5;5;4;5;5;1;1;1;4;3;5;1;4;4;4;3;2;4;4;1;1;4;4;1;3;5;4;2;5;4;3;2;4;5;5;2;5;5;2;2;4;5;1;2;2;2;4;4;2;1;3;2;1;4;3;3;4;4;1;7;4;4;4;4;9;5;6;2;5;3;11;1;3;2;13;;6;248;32;41;73;94;45;110;113;122;2144;40;197;48;3313;;06.12.2021 10:56;1;0;14;14;2;0;1,14;14
11;;;base;interview;06.12.2021 12:40;106;-9;1;1;1;1;1;26;2;1;2;1;2;Persian;2;5;Englisch Linguistik;19.5 out of 20;2;1;20 out of 20;1;1;1;1;2;1;6;4;1;3;5;3;1;2;5;6;1;2;5;4;1;1;3;3;2;4;1;4;3;4;4;5;4;4;2;3;4;4;4;5;2;4;4;3;4;4;4;4;3;5;3;3;2;4;1;2;4;3;3;2;3;4;4;3;5;3;2;4;4;5;4;3;4;3;1;3;2;2;3;1;3;4;4;4;1;4;4;3;5;4;3;3;3;1;8;3;3;3;3;7;5;9;1;3;7;1;1;1;2;13;;12;1236;45;58;90;62;47;61;57;49;1898;208;127;44;2980;;06.12.2021 13:47;1;0;14;14;2;0;1,01;8
12;;;base;interview;06.12.2021 15:00;107;-9;1;1;1;1;2;22;2;1;2;1;2;French;2;5;Mathematical physics;70%;2;1;95%;1;1;1;2;1;1;5;4;2;2;4;3;1;1;5;4;1;1;6;2;1;1;3;4;2;4;3;3;2;4;5;4;4;5;2;4;5;4;5;5;1;3;4;4;4;4;2;2;3;5;4;4;4;5;1;3;4;5;2;2;3;4;3;2;4;2;3;4;4;4;3;4;4;4;2;4;3;2;4;1;2;4;5;4;2;4;4;5;3;4;4;4;4;2;6;3;3;3;3;12;3;2;2;2;1;4;1;1;1;9;If i mirrored one figure into the other then they were not equal through rotation ;7;165;29;69;278;56;45;70;52;52;1864;57;236;39;2815;;06.12.2021 15:51;1;0;14;14;1;0;1,22;16
