rel_time,ID,date,time,dimension,state,substate,controllerleftclick,controllerrightclick,coloredcube,stimulus,2d_x,2d_y,playerlocationX,playerlocationY,playerlocationZ,playerrotationRoll,playerrotationPitch,playerrotationYaw,raydistance,raylocationX,raylocationY,raylocationZ,rayimpactpointX,rayimpactpointY,rayimpactpointZ,rayhitcomponent,rayscreenlocationX,rayscreenlocationX.1,combined.convergence_distance_mm,combined.convergence_distance_validity,combined.eye_data.eye_openness,combined.gaze_direction_normalized.X,combined.gaze_direction_normalized.Y,combined.gaze_direction_normalized.Z,combined.gaze_origin_mm.X,combined.gaze_origin_mm.Y,combined.gaze_origin_mm.Z,combined.pupil_diameter_mm,combined.pupil_position_in_sensor_area.X,combined.pupil_position_in_sensor_area.Y,left.eye_openness,left.gaze_direction_normalized.X,left.gaze_direction_normalized.Y,left.gaze_direction_normalized.Z,left.gaze_origin_mm.X,left.gaze_origin_mm.Y,left.gaze_origin_mm.Z,left.pupil_diameter_mm,left.pupil_position_in_sensor_area.X,left.pupil_position_in_sensor_area.Y,right.eye_openness,right.gaze_direction_normalized.X,right.gaze_direction_normalized.Y,right.gaze_direction_normalized.Z,right.gaze_origin_mm.X,right.gaze_origin_mm.Y,right.gaze_origin_mm.Z,right.pupil_diameter_mm,right.pupil_position_in_sensor_area.X,right.pupil_position_in_sensor_area.Y,left.eye_wide,right.eye_wide
0.0,189,2021.11.29,11.19.1.788,2,0,0,0,0,,0,,,4.216069,-5.152392,117.667892,7.689352,17.309023,5.839942,164.834152,160.768799,10.859921,166.71022,160.768753,10.85993,166.71022,partitionwall_15.StaticMeshComponent0 partitionwall,2233.314453,2233.314453,0.0,0,0.0,0.116058,0.031555,0.992737,-29.753586,7.186676,-32.271103,0.0,0.0,0.0,1.0,0.066391,0.025192,0.997467,32.353745,4.735428,-31.244766,3.275146,0.481925,0.444706,1.0,0.116058,0.031555,0.992737,-29.753616,7.186676,-32.271118,3.41008,0.475384,0.351356,0.229452,0.229452
0.007,189,2021.11.29,11.19.1.795,2,0,0,0,0,,0,,,4.216069,-5.152392,117.667892,7.689352,17.309023,5.839942,165.703323,160.768661,-7.248181,171.930939,160.768631,-7.24817,171.930939,partitionwall_15.StaticMeshComponent0 partitionwall,1855.738892,1855.738892,0.0,0,0.0,0.114746,0.043884,0.992416,-29.746155,7.160568,-32.177277,0.0,0.0,0.0,1.0,0.059708,0.022385,0.997955,32.386185,4.765549,-31.368057,3.220947,0.48177,0.445092,1.0,0.114746,0.043884,0.992416,-29.74617,7.160583,-32.177277,3.427444,0.475336,0.349616,0.266682,0.266682
0.045,189,2021.11.29,11.19.1.833,2,0,0,0,0,,0,,,4.205538,-5.105579,117.66877,7.745062,17.308449,5.918657,166.43161,160.768661,-6.71406,174.103546,160.768646,-6.71405,174.103531,partitionwall_15.StaticMeshComponent0 partitionwall,1859.915405,1859.915405,0.0,0,0.0,0.117798,0.034378,0.992432,-29.756042,7.15834,-32.186279,0.0,0.0,0.0,1.0,0.061615,0.028992,0.997665,32.400818,4.765045,-31.416077,3.128387,0.481035,0.444484,1.0,0.117798,0.034378,0.992432,-29.757904,7.158417,-32.18631,3.445557,0.475301,0.351247,0.334026,0.334026
0.066,189,2021.11.29,11.19.1.854,2,0,0,0,0,,0,,,4.200834,-5.083561,117.674377,7.787229,17.315485,5.968003,165.896469,160.768661,-7.084838,172.484497,160.768631,-7.084826,172.484482,partitionwall_15.StaticMeshComponent0 partitionwall,1853.783447,1853.783447,0.0,0,0.0,0.096024,0.030487,0.994904,-6.194138,6.252197,-31.895355,0.0,0.0,0.0,1.0,0.060379,0.028793,0.997757,32.410156,4.773819,-31.446548,3.158829,0.480862,0.444509,1.0,0.117722,0.031509,0.992538,-29.757492,7.154572,-32.169312,3.429764,0.475284,0.351671,0.351183,0.351183
0.091,189,2021.11.29,11.19.1.879,2,0,0,0,0,,0,,,4.192718,-5.060279,117.677544,7.833478,17.322159,6.026361,165.681366,160.768692,-3.48988,171.823792,160.768661,-3.489869,171.823776,partitionwall_15.StaticMeshComponent0 partitionwall,1898.241699,1898.241699,0.0,0,0.0,0.088837,0.031189,0.995544,-0.935242,6.042908,-31.826477,0.0,0.0,0.0,1.0,0.05545,0.030807,0.997971,32.439774,4.755417,-31.428085,3.111221,0.480589,0.444637,1.0,0.117584,0.031479,0.992554,-29.755096,7.154678,-32.170486,3.436295,0.47523,0.35169,0.352775,0.352775
0.11,189,2021.11.29,11.19.1.898,2,0,0,0,0,,0,,,4.197724,-5.038619,117.680649,7.84007,17.346315,6.064539,165.766998,160.768707,-2.227108,172.052734,160.768677,-2.227098,172.052719,partitionwall_15.StaticMeshComponent0 partitionwall,1911.617798,1911.617798,0.0,0,0.0,0.091156,0.027466,0.995453,-2.936951,6.107086,-31.815964,0.0,0.0,0.0,1.0,0.056519,0.021683,0.998154,32.443359,4.727875,-31.352234,3.216599,0.480258,0.446328,1.0,0.11734,0.03183,0.992569,-29.754166,7.152496,-32.16745,3.431351,0.47523,0.351685,0.347297,0.347297
0.134,189,2021.11.29,11.19.1.922,2,0,0,0,0,,0,,,4.197757,-5.012512,117.677864,7.830923,17.340654,6.082122,165.529602,160.768692,-2.538746,171.338577,160.768661,-2.538737,171.338562,partitionwall_15.StaticMeshComponent0 partitionwall,1907.143555,1907.143555,0.0,0,0.0,0.098068,0.029694,0.99472,-10.143341,6.382217,-31.900009,0.0,0.0,0.0,1.0,0.056931,0.02388,0.998077,32.447296,4.717316,-31.323135,3.211914,0.480073,0.446117,1.0,0.116959,0.032349,0.992599,-29.751373,7.148712,-32.165588,3.418137,0.475179,0.351708,0.361624,0.361624
0.155,189,2021.11.29,11.19.1.943,2,0,0,0,0,,0,,,4.195432,-4.992402,117.673111,7.844384,17.336227,6.109741,165.660934,160.768692,-3.516369,171.767303,160.768661,-3.516358,171.767319,partitionwall_15.StaticMeshComponent0 partitionwall,1893.230469,1893.230469,0.0,0,0.0,0.096237,0.029099,0.994919,-5.476517,6.204102,-31.848221,0.0,0.0,0.0,1.0,0.06308,0.024582,0.997696,32.452942,4.727875,-31.352234,3.191635,0.478993,0.4459,1.0,0.117401,0.031952,0.992554,-29.74617,7.148682,-32.165588,3.401062,0.474914,0.351757,0.365506,0.365506
0.177,189,2021.11.29,11.19.1.965,2,0,0,0,0,,0,,,4.192924,-4.957473,117.676498,7.914484,17.332943,6.182217,165.628693,160.768707,-2.996661,171.649109,160.768661,-2.996651,171.649109,partitionwall_15.StaticMeshComponent0 partitionwall,1898.721924,1898.721924,0.0,0,0.0,0.091415,0.028641,0.995392,-0.578918,6.013596,-31.78746,0.0,0.0,0.0,1.0,0.061768,0.024521,0.997787,32.458481,4.727875,-31.352234,3.190186,0.478993,0.4459,1.0,0.117538,0.032272,0.992538,-29.743179,7.148575,-32.171661,3.392731,0.474783,0.351757,0.369736,0.369736
0.199,189,2021.11.29,11.19.1.987,2,0,0,0,0,,0,,,4.189123,-4.917514,117.6828,7.894918,17.296225,6.22924,165.575027,160.768692,-2.071707,171.43985,160.768661,-2.071697,171.43985,partitionwall_15.StaticMeshComponent0 partitionwall,1907.706055,1907.706055,0.0,0,0.0,0.09082,0.02626,0.995514,0.102264,5.982239,-31.768219,0.0,0.0,0.0,1.0,0.059357,0.023697,0.997955,32.467819,4.717316,-31.323135,3.186127,0.47903,0.446117,1.0,0.119766,0.02861,0.992386,-29.74025,7.148575,-32.178604,3.377792,0.47433,0.352361,0.370243,0.370243
