ID,gender,age,language,handedness,VR_exp,MR_exp,visual_aid
208,female,23.0,1.0,right,2.0,1.0,no
209,male,23.0,2.0,right,3.0,1.0,no
212,male,25.0,1.0,right,2.0,1.0,no
213,male,37.0,1.0,right,3.0,1.0,no
103,female,22.0,3.0,left,2.0,2.0,no
106,female,26.0,2.0,right,2.0,1.0,no
107,male,22.0,2.0,right,2.0,1.0,no
108,female,27.0,1.0,right,1.0,1.0,no
109,female,19.0,3.0,right,1.0,1.0,no
110,male,28.0,2.0,right,2.0,1.0,no
182,female,24.0,2.0,right,1.0,1.0,glasses
200,female,29.0,2.0,right,1.0,1.0,no
124,female,19.0,3.0,right,1.0,1.0,no
163,female,21.0,2.0,right,1.0,1.0,no
101,female,19.0,2.0,right,2.0,1.0,no
187,female,20.0,2.0,right,1.0,1.0,no
144,male,23.0,4.0,right,2.0,1.0,no
147,female,24.0,3.0,right,3.0,4.0,no
148,female,20.0,2.0,right,1.0,1.0,contact lenses
150,female,19.0,3.0,right,1.0,1.0,no
151,female,24.0,3.0,right,2.0,1.0,contact lenses
152,male,24.0,3.0,right,1.0,1.0,no
153,female,20.0,1.0,right,1.0,1.0,no
155,female,26.0,2.0,right,1.0,1.0,no
154,female,21.0,3.0,right,1.0,1.0,contact lenses
158,female,22.0,3.0,left,2.0,1.0,no
159,female,21.0,2.0,right,3.0,2.0,no
160,female,25.0,2.0,right,2.0,1.0,no
161,female,23.0,1.0,left,2.0,1.0,glasses
162,female,19.0,3.0,right,2.0,1.0,no
164,male,26.0,2.0,right,1.0,1.0,glasses
165,female,20.0,4.0,right,1.0,1.0,glasses
166,male,23.0,3.0,right,4.0,1.0,no
172,female,23.0,4.0,right,3.0,1.0,no
167,female,19.0,2.0,right,1.0,1.0,no
168,female,18.0,3.0,right,1.0,1.0,no
169,female,33.0,2.0,right,1.0,1.0,glasses
170,female,19.0,3.0,right,2.0,1.0,glasses
171,male,26.0,3.0,left,1.0,2.0,no
174,female,22.0,2.0,right,2.0,1.0,no
175,male,19.0,2.0,right,1.0,1.0,no
177,female,24.0,3.0,right,2.0,1.0,no
178,female,23.0,2.0,right,2.0,1.0,no
179,male,18.0,2.0,left,5.0,1.0,no
180,female,21.0,3.0,right,2.0,1.0,contact lenses
181,male,19.0,2.0,right,2.0,1.0,no
183,male,30.0,2.0,right,1.0,1.0,glasses
184,male,21.0,1.0,right,1.0,1.0,glasses
185,female,24.0,4.0,right,2.0,1.0,no
186,female,25.0,2.0,right,3.0,1.0,no
188,female,18.0,3.0,right,2.0,1.0,no
189,female,25.0,2.0,right,2.0,1.0,glasses
190,male,68.0,4.0,right,1.0,1.0,glasses
191,female,23.0,3.0,right,1.0,1.0,no
192,male,21.0,2.0,right,3.0,3.0,no
193,female,27.0,3.0,left,2.0,1.0,glasses
194,female,23.0,2.0,right,2.0,4.0,no
195,male,24.0,3.0,right,3.0,1.0,no
196,male,20.0,3.0,right,3.0,4.0,no
197,female,21.0,2.0,right,2.0,1.0,glasses
198,male,22.0,1.0,right,1.0,1.0,no
199,male,22.0,2.0,right,1.0,1.0,no
201,male,26.0,2.0,right,1.0,1.0,glasses
202,female,31.0,3.0,right,3.0,4.0,contact lenses
203,male,20.0,3.0,right,2.0,1.0,glasses
204,female,28.0,2.0,left,1.0,1.0,glasses
205,female,28.0,2.0,right,2.0,1.0,no
206,female,18.0,2.0,left,1.0,1.0,glasses
207,female,24.0,4.0,right,2.0,2.0,glasses
210,female,22.0,3.0,right,1.0,1.0,no
211,female,23.0,2.0,right,1.0,1.0,glasses
215,female,18.0,3.0,right,2.0,1.0,no
214,male,24.0,2.0,right,1.0,1.0,glasses
216,female,26.0,4.0,right,2.0,1.0,glasses
217,male,19.0,3.0,right,1.0,1.0,glasses
218,male,20.0,2.0,right,1.0,1.0,no
219,female,24.0,3.0,right,2.0,1.0,no
100,male,17.0,3.0,right,4.0,1.0,no
102,male,23.0,1.0,right,2.0,1.0,glasses
104,female,24.0,2.0,left,3.0,1.0,no
105,female,20.0,1.0,right,1.0,1.0,no
111,female,20.0,2.0,right,2.0,1.0,no
112,male,23.0,2.0,right,5.0,2.0,glasses
