ID,cond,time,rel_time,dimension,stimulus,onset,controllerleftclick,controllerrightclick,stimulus_ue,2d_x,2d_y,playerlocationX,playerlocationY,playerlocationZ,playerrotationRoll,playerrotationPitch,playerrotationYaw,raydistance,rayimpactpointX,rayimpactpointY,rayimpactpointZ,rayhitcomponent,combined.gaze_direction_normalized.X,combined.gaze_direction_normalized.Y,combined.gaze_direction_normalized.Z,combined.gaze_origin_mm.X,combined.gaze_origin_mm.Y,combined.gaze_origin_mm.Z,left.eye_openness,left.gaze_direction_normalized.X,left.gaze_direction_normalized.Y,left.gaze_direction_normalized.Z,left.gaze_origin_mm.X,left.gaze_origin_mm.Y,left.gaze_origin_mm.Z,left.pupil_diameter_mm,left.pupil_position_in_sensor_area.X,left.pupil_position_in_sensor_area.Y,right.eye_openness,right.gaze_direction_normalized.X,right.gaze_direction_normalized.Y,right.gaze_direction_normalized.Z,right.gaze_origin_mm.X,right.gaze_origin_mm.Y,right.gaze_origin_mm.Z,right.pupil_diameter_mm,right.pupil_position_in_sensor_area.X,right.pupil_position_in_sensor_area.Y,left.eye_wide,right.eye_wide,left.pupil_diameter_clean,right.pupil_diameter_clean,combined.pupil_diameter_clean,combined.pupil_diameter_corr
165,first,0.0,-3.064000000000007,3,10.0,0.0,0,6,Pause,,,-18.585407,0.365019,119.93502,-0.385102,13.836951,3.308002,187.152969,160.768738,6.644851,173.028091,partitionwall_15.StaticMeshComponent0 partitionwall,0.025803,0.051071,0.998352,24.907104,5.395584,-26.536194,1.0,0.021408,0.048203,0.998596,32.866669,5.815964,-27.211609,3.904114,0.481362,0.369203,1.0,0.054901,0.070023,0.996033,-27.79303,2.612274,-22.064255,4.21228,0.421831,0.40616,0.604868,0.604868,3.904114,4.21228,4.058197,0.16194150000000018
165,first,0.0210000000000007,-3.0430000000000064,3,10.0,0.0,0,6,Pause,,,-18.589407,0.354779,119.937851,-0.403217,13.82717,3.266676,187.411453,160.768723,6.092385,173.98204,partitionwall_15.StaticMeshComponent0 partitionwall,0.03035,0.054825,0.998032,16.165482,4.933395,-25.789246,1.0,0.021179,0.049133,0.998566,32.866364,5.810715,-27.1819,3.915649,0.481407,0.369004,1.0,0.054459,0.069763,0.996063,-27.799026,2.623901,-22.123123,4.210251,0.422062,0.406288,0.600005,0.600005,3.915649,4.210251,4.062950000000001,0.16669450000000108
165,first,0.0439999999999969,-3.0200000000000102,3,10.0,0.0,0,6,Pause,,,-18.588936,0.353563,119.93306,-0.464113,13.817888,3.225492,187.578751,160.768723,5.152905,174.646591,partitionwall_15.StaticMeshComponent0 partitionwall,0.028641,0.056122,0.998001,14.02774,4.808945,-25.564224,1.0,0.018158,0.049103,0.998627,32.866364,5.792618,-27.102783,3.929794,0.481885,0.369004,1.0,0.05191,0.071671,0.996063,-27.813583,2.624176,-22.146988,4.247681,0.42295,0.406199,0.601861,0.601861,3.929794,4.247681,4.0887375,0.19248200000000004
165,first,0.0660000000000025,-2.9980000000000047,3,10.0,0.0,0,6,Pause,,,-18.59343,0.345612,119.919312,-0.493517,13.7894,3.211018,187.645966,160.768723,5.410404,174.824341,partitionwall_15.StaticMeshComponent0 partitionwall,0.034119,0.060074,0.997604,1.190536,4.119446,-24.416229,1.0,0.019394,0.049591,0.998566,32.855972,5.764725,-26.983704,3.952805,0.482056,0.368941,1.0,0.047592,0.069656,0.996429,-27.8172,2.612274,-22.064255,4.213425,0.423657,0.406229,0.605543,0.605543,3.952805,4.213425,4.083115,0.18685950000000062
165,first,0.088000000000008,-2.975999999999999,3,10.0,0.0,0,6,Pause,,,-18.59095,0.346243,119.915901,-0.486592,13.752059,3.217086,187.802246,160.768723,4.455348,175.439758,partitionwall_15.StaticMeshComponent0 partitionwall,0.035278,0.050705,0.998077,-5.718338,3.798965,-23.891357,1.0,0.013672,0.049896,0.998657,32.848419,5.759613,-26.951599,3.955887,0.483199,0.368809,1.0,0.047684,0.051178,0.997543,-27.850174,2.673828,-22.135208,4.158752,0.424583,0.407481,0.601632,0.601632,3.955887,4.158752,4.0573195,0.16106400000000054
165,first,0.1099999999999994,-2.954000000000008,3,10.0,0.0,0,6,Pause,,,-18.587976,0.345695,119.914314,-0.478604,13.700771,3.213171,187.217056,160.768707,4.207471,173.453888,partitionwall_15.StaticMeshComponent0 partitionwall,0.026138,0.048019,0.998489,10.207443,4.614899,-25.158188,1.0,0.013138,0.049576,0.998672,32.844406,5.759048,-26.934174,3.964569,0.483413,0.368744,1.0,0.047989,0.045364,0.997803,-27.882278,2.689728,-22.169846,4.152267,0.425541,0.408083,0.61378,0.61378,3.964569,4.152267,4.058418,0.1621625
165,first,0.1329999999999955,-2.931000000000012,3,10.0,0.0,0,6,Pause,,,-18.584364,0.342751,119.913612,-0.448354,13.670391,3.223865,187.083481,160.768723,5.874051,172.848312,partitionwall_15.StaticMeshComponent0 partitionwall,0.022873,0.050339,0.998459,17.394104,4.978745,-25.716461,1.0,0.012512,0.052124,0.99855,32.843918,5.759048,-26.925949,3.984207,0.483511,0.368294,1.0,0.053253,0.045074,0.997559,-27.909912,2.690628,-22.169846,4.175598,0.425706,0.408083,0.636164,0.636164,3.984207,4.175598,4.0799025,0.18364700000000056
165,first,0.1550000000000011,-2.909000000000006,3,10.0,0.0,0,6,Pause,,,-18.58189,0.337327,119.915977,-0.414108,13.634806,3.255824,187.19371,160.768738,6.563119,173.170807,partitionwall_15.StaticMeshComponent0 partitionwall,0.02298,0.049713,0.998489,14.865051,4.854279,-25.514008,1.0,0.011536,0.053543,0.998489,32.843338,5.759613,-26.919891,4.013458,0.483655,0.368022,1.0,0.050217,0.040558,0.99791,-27.920776,2.699707,-22.168198,4.173935,0.426491,0.408439,0.616127,0.616127,4.013458,4.173935,4.0936965,0.19744100000000042
165,first,0.1779999999999972,-2.88600000000001,3,10.0,0.0,0,6,Pause,,,-18.580692,0.337183,119.907089,-0.369541,13.602143,3.272251,187.125671,160.768738,6.593673,172.922592,partitionwall_15.StaticMeshComponent0 partitionwall,0.0224,0.049149,0.998535,14.323547,4.82962,-25.471207,1.0,0.011322,0.054398,0.998444,32.843338,5.761963,-26.919891,4.013718,0.483689,0.367815,1.0,0.047684,0.03714,0.998169,-27.925125,2.702682,-22.166367,4.182068,0.42701,0.408832,0.62608,0.62608,4.013718,4.182068,4.097893,0.20163750000000036
165,first,0.198999999999998,-2.865000000000009,3,10.0,0.0,0,6,Pause,,,-18.58415,0.329304,119.891403,-0.361321,13.589084,3.273057,187.084396,160.768738,6.690925,172.73674,partitionwall_15.StaticMeshComponent0 partitionwall,0.023026,0.049225,0.99852,14.3013,4.833054,-25.474182,1.0,0.012039,0.053314,0.998505,32.844238,5.768417,-26.925949,4.013031,0.483549,0.36781,1.0,0.048019,0.039871,0.998047,-27.925125,2.703049,-22.168198,4.200851,0.426991,0.408439,0.619547,0.619547,4.013031,4.200851,4.106941,0.2106855000000003
