Correct,RT,Response,Mean fixation duration,Mean regressive fixation duration,Equal fixation duration between figures,Equal fixation duration within figure,Mean saccade duration,Mean saccade velocity,Mean pupil diameter,Pupil diameter amplitude,Mean head rotation,Mean head movement,Strategy ratio,Equal?,AngularDisp,Number of Fixations,Relative Number of Fixations,Number of Saccades,Relative Number of Saccades,Mean distance to figure,Mean angle around figure
1.0,-0.055,-0.096,0.003,-0.005,0.026,0.055,0.035,0.06,0.01,0.015,0.005,0.002,-0.054,0.069,-0.035,-0.056,-0.017,-0.048,0.031,-0.003,0.005
-0.055,1.0,-0.113,0.112,0.271,0.16,0.06,0.114,-0.119,0.201,-0.047,0.087,0.139,0.448,-0.17,0.117,0.957,-0.109,0.841,-0.458,-0.027,0.065
-0.096,-0.113,1.0,-0.086,-0.072,-0.068,-0.004,0.001,0.051,-0.039,0.034,0.068,0.074,-0.04,0.713,-0.016,-0.116,0.021,-0.107,0.07,-0.013,0.035
0.003,0.112,-0.086,1.0,0.302,-0.054,-0.061,0.134,-0.02,0.014,0.072,-0.154,-0.111,0.044,-0.097,0.059,0.072,-0.159,-0.054,-0.392,-0.029,0.008
-0.005,0.271,-0.072,0.302,1.0,0.21,0.003,0.032,0.022,0.005,0.069,-0.015,0.02,0.136,-0.088,0.129,0.272,0.042,0.228,-0.236,-0.016,0.011
0.026,0.16,-0.068,-0.054,0.21,1.0,0.138,0.036,0.068,0.011,0.013,-0.065,-0.055,0.061,-0.066,0.009,0.209,0.235,0.158,-0.127,0.038,-0.03
0.055,0.06,-0.004,-0.061,0.003,0.138,1.0,-0.005,0.085,-0.138,0.12,0.106,0.11,-0.057,-0.034,-0.072,0.082,0.123,0.098,-0.007,-0.046,0.09
0.035,0.114,0.001,0.134,0.032,0.036,-0.005,1.0,-0.091,0.066,0.038,0.143,0.136,-0.013,-0.009,-0.008,0.068,-0.147,0.008,-0.235,-0.275,0.223
0.06,-0.119,0.051,-0.02,0.022,0.068,0.085,-0.091,1.0,-0.059,0.033,-0.106,-0.106,-0.143,0.029,-0.007,-0.082,0.141,-0.145,-0.035,-0.233,0.278
0.01,0.201,-0.039,0.014,0.005,0.011,-0.138,0.066,-0.059,1.0,-0.223,-0.042,-0.045,0.149,-0.027,0.031,0.194,-0.074,0.183,-0.13,-0.062,0.022
0.015,-0.047,0.034,0.072,0.069,0.013,0.12,0.038,0.033,-0.223,1.0,0.072,0.082,-0.088,0.006,0.027,-0.051,-0.007,-0.054,0.023,-0.1,0.118
0.005,0.087,0.068,-0.154,-0.015,-0.065,0.106,0.143,-0.106,-0.042,0.072,1.0,0.794,0.02,0.049,-0.001,-0.008,-0.278,0.126,0.034,-0.129,0.195
0.002,0.139,0.074,-0.111,0.02,-0.055,0.11,0.136,-0.106,-0.045,0.082,0.794,1.0,0.016,0.039,0.028,0.043,-0.25,0.154,-0.021,-0.121,0.237
-0.054,0.448,-0.04,0.044,0.136,0.061,-0.057,-0.013,-0.143,0.149,-0.088,0.02,0.016,1.0,-0.047,0.009,0.456,0.026,0.286,-0.311,0.028,-0.031
0.069,-0.17,0.713,-0.097,-0.088,-0.066,-0.034,-0.009,0.029,-0.027,0.006,0.049,0.039,-0.047,1.0,-0.0,-0.172,0.008,-0.163,0.095,-0.002,0.002
-0.035,0.117,-0.016,0.059,0.129,0.009,-0.072,-0.008,-0.007,0.031,0.027,-0.001,0.028,0.009,-0.0,1.0,0.106,-0.043,0.136,-0.063,0.0,0.006
-0.056,0.957,-0.116,0.072,0.272,0.209,0.082,0.068,-0.082,0.194,-0.051,-0.008,0.043,0.456,-0.172,0.106,1.0,0.122,0.798,-0.447,0.015,0.027
-0.017,-0.109,0.021,-0.159,0.042,0.235,0.123,-0.147,0.141,-0.074,-0.007,-0.278,-0.25,0.026,0.008,-0.043,0.122,1.0,-0.121,-0.01,0.103,-0.088
-0.048,0.841,-0.107,-0.054,0.228,0.158,0.098,0.008,-0.145,0.183,-0.054,0.126,0.154,0.286,-0.163,0.136,0.798,-0.121,1.0,-0.055,-0.029,0.048
0.031,-0.458,0.07,-0.392,-0.236,-0.127,-0.007,-0.235,-0.035,-0.13,0.023,0.034,-0.021,-0.311,0.095,-0.063,-0.447,-0.01,-0.055,1.0,-0.022,-0.006
-0.003,-0.027,-0.013,-0.029,-0.016,0.038,-0.046,-0.275,-0.233,-0.062,-0.1,-0.129,-0.121,0.028,-0.002,0.0,0.015,0.103,-0.029,-0.022,1.0,-0.812
0.005,0.065,0.035,0.008,0.011,-0.03,0.09,0.223,0.278,0.022,0.118,0.195,0.237,-0.031,0.002,0.006,0.027,-0.088,0.048,-0.006,-0.812,1.0
