ID,dimension,condition,stimulus,Number of Fixations,Relative Number of Fixations,Number of Saccades,Relative Number of Saccades,Mean fixation duration during head movement,Mean distance to figure,Mean angle around figure
100,2,first,1,8,2.628984554715748,7,2.3003614853762793,0.2439999999999997,105.08978003045414,1.4732200462027651
100,2,first,2,8,1.9417475728155384,7,1.6990291262135961,0.15549999999999636,105.29953640975472,1.2733007612819587
100,2,first,3,10,1.6658337497917748,4,0.6663334999167099,0.4555000000000006,105.14878549079636,1.266638465444259
100,2,first,4,17,2.3779549587354873,10,1.3987970345502865,0.1380000000000052,103.26990139491672,1.8629535975085374
100,2,first,5,7,1.8286311389759786,4,1.044932079414845,0.1519999999999868,103.03645426811813,2.0070844732221977
100,2,first,6,5,2.153316106804476,4,1.7226528854435812,0.1479999999999961,104.29731059607305,1.4436350653994472
100,2,first,7,15,1.9374838543012165,11,1.4208214931542256,0.15000000000000566,104.33210655323806,1.4090139674926523
100,2,first,8,13,2.3796448837634965,7,1.2813472451034211,0.1780000000000114,105.2095455637385,1.2348027262970598
100,2,first,9,7,1.9880715705765484,8,2.2720817949446266,,104.51117921587829,1.4771893687903463
100,2,first,10,13,2.363206689692769,11,1.9996364297400353,0.23820000000000618,102.9772189775146,2.041869752403247
100,2,first,11,10,2.472799208704255,9,2.2255192878338295,0.154999999999994,105.00826726886184,1.3826095182760467
100,2,first,12,5,2.0275750202757434,5,2.0275750202757434,0.12150000000001171,103.18310811626226,1.9687161320614375
100,2,first,13,7,2.781088597536723,6,2.3837902264600483,0.11150000000000655,103.36387019901947,1.8467385823001021
100,2,first,14,9,3.282275711159716,8,2.9175784099197473,0.1100000000000136,104.57938052903066,1.1573178014038572
100,2,first,15,13,2.635847526358474,11,2.2303325223033243,,105.34780794411903,1.4513744668171853
100,2,first,16,9,2.643948296122212,6,1.762632197414808,0.15449999999999894,105.54110970085168,1.3449519199050608
100,2,first,17,11,2.7227722772277283,6,1.485148514851488,0.1099999999999852,103.71896101505739,1.4805903177725288
100,2,first,18,11,2.2859517871986643,7,1.4546965918536956,0.22049999999998704,103.31038023996692,1.845995125467296
100,2,first,19,11,2.1421616358325255,4,0.7789678675754639,,103.45516086482806,1.664774726013394
100,2,first,20,5,1.7006802721088448,3,1.0204081632653068,0.14650000000000316,103.18226914749394,1.9337370215500103
100,2,first,21,9,1.8891687657430805,10,2.0990764063812004,,104.67980738661247,1.434204978388338
100,2,first,22,7,1.732673267326736,8,1.9801980198019842,0.1110000000000042,104.2843914409953,1.2113282005843828
100,2,first,23,17,2.1510818676451926,9,1.1388080475768667,0.1999999999999886,104.11490410607009,1.6137834956390629
100,2,first,24,6,2.0026702269693053,4,1.3351134846462034,0.1659999999999968,103.64247955704157,1.572508928573553
100,2,first,25,9,1.686656671664164,7,1.3118440779610163,0.1079999999999756,103.40956058989086,1.7430053317524383
100,2,first,26,17,1.9484240687679095,12,1.3753581661891126,0.23874999999999247,104.26802115280425,1.5408990046187727
100,2,first,27,5,2.9086678301337607,3,1.7452006980802564,,104.39985166093172,1.3875747992136496
100,2,first,28,17,2.1645021645021685,6,0.7639419404125302,,103.02141345886375,2.0871234498443765
100,2,first,29,6,1.7947950942267406,3,0.8973975471133703,0.7660000000000071,105.45216803475095,1.4148042422091691
100,2,first,30,6,2.598527501082723,4,1.732351667388482,,104.41490847428024,1.272489082379846
100,3,second,1,9,2.7190332326284086,7,2.114803625377651,0.12200000000001049,103.78598540452481,1.4652120737983256
100,3,second,2,9,3.0938466827088282,9,3.0938466827088282,0.20749999999999955,103.91897362687449,1.4913875547446056
100,3,second,3,8,2.798181182231541,4,1.3990905911157705,0.11050000000000179,104.80545817308736,0.8894457651215476
100,3,second,4,8,2.860207365033968,6,2.145155523775476,0.13474999999998258,104.36515626777609,0.9902997526945724
100,3,second,5,7,3.501750875437727,3,1.5007503751875975,0.14199999999999874,103.81248142148665,1.2877001707532298
100,3,second,6,7,2.24,6,1.92,0.1660000000000394,100.27718223350541,8.85519341985451
100,3,second,7,12,3.087213789554926,9,2.3154103421661945,0.14066666666666797,103.88905758568313,1.3608878597192418
100,3,second,8,4,1.3201320132013197,7,2.3102310231023093,0.1550000000000011,103.77252225887241,3.968767381486041
100,3,second,9,7,2.4398745207389334,4,1.394214011850819,0.3964999999999961,103.5065541289091,1.4692268337416783
100,3,second,10,6,2.0161290322580605,5,1.680107526881717,0.2000000000000028,103.79000422735072,1.7546538644368188
100,3,second,11,4,1.74825174825174,7,3.059440559440545,0.1555000000000035,102.86183152998214,1.8776605480703874
100,3,second,12,5,2.7964205816555086,3,1.677852348993305,0.12150000000002589,104.38764783749173,0.9073155944281783
100,3,second,13,3,2.196193265007298,4,2.9282576866763974,0.2450000000000045,104.21315082448184,1.0379112184442951
100,3,second,14,6,2.4927295388450244,7,2.9081844619858614,0.1594999999999942,104.45064950789688,1.1571858556276768
100,3,second,15,11,2.646775745909543,11,2.646775745909543,0.31800000000002154,104.9819393313724,0.9972931166903428
100,3,second,16,16,2.0814361909717713,10,1.300897619357357,0.11520000000000433,102.11490795955545,2.3455950317600114
100,3,second,17,6,1.4364376346660308,11,2.633468996887723,0.1667500000000039,99.5986717571091,9.645580224663622
100,3,second,18,8,2.1828103683492546,7,1.9099590723055977,0.1779999999999972,104.26797473607925,1.368575632099845
100,3,second,19,7,1.5716210148181382,7,1.5716210148181382,,102.47970059364204,2.1918176103479436
100,3,second,20,5,3.084515731030224,4,2.4676125848241792,0.17033333333333187,103.7633692990315,1.253466583213001
100,3,second,21,9,1.2,10,1.3333333333333333,0.13624999999999682,102.72822599145586,9.43432704276472
100,3,second,22,11,2.8004073319755625,6,1.5274949083503067,0.17799999999999724,104.47428430638601,1.1910558326438747
100,3,second,23,11,2.1568627450980387,9,1.7647058823529407,0.1219999999999981,103.83987941642893,6.348020624006377
100,3,second,24,7,1.422475106685631,8,1.6256858362121496,,103.63349346096255,1.5257688565687615
100,3,second,25,11,3.538115149565799,5,1.608234158893545,0.1629999999999967,104.3427560626961,1.1595425011238107
100,3,second,26,8,1.7319766183156529,11,2.3814678501840225,0.14400000000000185,99.61798341455156,6.5909795668708195
100,3,second,27,4,2.6455026455026447,4,2.6455026455026447,0.1780000000000043,103.434336499056,1.6754538493969406
100,3,second,28,5,1.9327406262079598,5,1.9327406262079598,0.1110000000000042,102.11769000052695,2.370078730609061
100,3,second,29,10,2.064835845550271,7,1.4453850918851898,0.20100000000000404,103.21156867854323,3.8673974979177608
100,3,second,30,3,1.3767783386874701,6,2.7535566773749403,,104.13628303294234,1.3876465856216569
102,2,first,1,8,2.1875854525567346,9,2.4610336341263266,,90.65198714366818,7.972331997653188
102,2,first,2,16,2.7224774544835824,13,2.2120129317679105,0.1110000000000042,91.07905695071132,7.803697896128612
102,2,first,3,10,2.9429075927015926,10,2.9429075927015926,0.1350000000000193,91.08842947057379,7.811877419566315
102,2,first,4,8,2.415458937198059,5,1.509661835748787,0.2330000000000041,89.01458514044604,8.858916278812828
102,2,first,5,7,2.4484085344526227,6,2.0986358866736765,,88.64941533226393,9.049838175381362
102,2,first,6,26,2.8153762858689726,20,2.165674066053056,0.1350000000000051,91.3018542280932,7.736959753007522
102,2,first,7,21,3.0,16,2.2857142857142856,0.13974999999999932,91.19752658007714,7.767139657435922
102,2,first,8,40,2.314814814814815,23,1.3310185185185184,0.7330000000000041,91.60534476977392,7.49035949643283
102,2,first,9,12,2.736602052451545,10,2.2805017103762877,0.1750000000000113,90.35618771321595,8.189489450494587
102,2,first,10,8,2.762430939226505,6,2.0718232044198786,0.1330000000000097,88.6372287906283,9.035369495489245
102,2,first,11,13,2.9312288613303252,11,2.4802705749718137,0.19199999999999776,90.91719624434698,7.848540155630314
102,2,first,12,10,3.0229746070133077,6,1.8137847642079847,,88.7908933155298,8.979203872157466
102,2,first,13,15,2.6431718061673957,10,1.7621145374449303,,88.8301344100393,8.936762638502445
102,2,first,14,9,2.7380590203833233,6,1.8253726802555488,,91.18683303315737,7.7623009876322255
102,2,first,15,15,2.2512381809995508,11,1.6509079993996707,0.1550000000000011,91.13845250560462,7.766075772884177
102,2,first,16,22,2.1857923497267766,27,2.6825633383010437,0.1183333333333348,89.95154679355082,8.407889866330692
102,2,first,17,23,2.9808190772420913,14,1.8144116122343164,0.1129999999999995,90.75183436651592,8.028977648456955
102,2,first,18,9,2.8230865746549667,8,2.5094102885821923,0.1345000000000027,88.77874916933419,8.998045105352812
102,2,first,19,15,2.742731760833765,11,2.0113366246114275,,89.45986037776672,8.632816428882354
102,2,first,20,7,2.5279884434813966,7,2.5279884434813966,,88.68277544298837,9.04516254676395
102,2,first,21,27,2.868678283042922,21,2.231194220144495,0.23516666666666922,91.21329622271254,7.811558902414955
102,2,first,22,22,2.7147087857848025,18,2.2211253701875657,0.1560000000000059,91.20863137707572,7.738338159896891
102,2,first,23,14,2.8530670470756,13,2.649276543713057,0.1405000000000029,91.41638700038082,7.665097314242373
102,2,first,24,20,2.8141269171239625,14,1.9698888419867737,0.2139999999999702,91.5612685360048,7.602366181261462
102,2,first,25,9,2.989040185984699,6,1.9926934573231325,0.1329999999999813,88.93624507980837,8.8891479186302
102,2,first,26,23,2.736792003807712,17,2.022846263683961,0.11149999999999236,91.53973436490848,7.594099921429955
102,2,first,27,7,3.044802087864318,6,2.609830361026558,0.14800000000000083,91.23587167801134,7.756943183450518
102,2,first,28,20,2.7720027720027596,13,1.8018018018017938,0.13120000000000115,88.81482558089584,8.976897688841305
102,2,first,29,14,3.0891438658428974,11,2.4271844660194195,,90.08032802082519,8.265865017959346
102,2,first,30,9,2.7297543221110123,8,2.4264482863209,0.1409999999999911,91.11685158288492,7.803691410313937
102,3,second,1,10,2.778549597110305,8,2.222839677688244,,87.08454846860904,10.09450442824411
102,3,second,2,5,2.9994001199760274,5,2.9994001199760274,0.1340000000000003,85.77692112189274,10.76311551475053
102,3,second,3,7,3.4825870646766326,5,2.4875621890547377,0.7760000000000105,86.44191793171753,10.483676593136108
