ID,dimension,condition,stimulus,Number of Fixations,Relative Number of Fixations,Number of Saccades,Relative Number of Saccades
100,2,first,1,8,2.628984554715748,7,2.3003614853762793
100,2,first,2,8,1.9417475728155384,7,1.6990291262135961
100,2,first,3,10,1.6658337497917748,4,0.6663334999167099
100,2,first,4,17,2.3779549587354873,10,1.3987970345502865
100,2,first,5,7,1.8286311389759786,4,1.044932079414845
100,2,first,6,5,2.153316106804476,4,1.7226528854435812
100,2,first,7,15,1.9374838543012165,11,1.4208214931542256
100,2,first,8,13,2.3796448837634965,7,1.2813472451034211
100,2,first,9,7,1.9880715705765484,8,2.2720817949446266
100,2,first,10,13,2.363206689692769,11,1.9996364297400353
100,2,first,11,10,2.472799208704255,9,2.2255192878338295
100,2,first,12,5,2.0275750202757434,5,2.0275750202757434
100,2,first,13,7,2.781088597536723,6,2.3837902264600483
100,2,first,14,9,3.282275711159716,8,2.9175784099197473
100,2,first,15,13,2.635847526358474,11,2.2303325223033243
100,2,first,16,9,2.643948296122212,6,1.762632197414808
100,2,first,17,11,2.7227722772277283,6,1.485148514851488
100,2,first,18,11,2.2859517871986643,7,1.4546965918536956
100,2,first,19,11,2.1421616358325255,4,0.7789678675754639
100,2,first,20,5,1.7006802721088448,3,1.0204081632653068
100,2,first,21,9,1.8891687657430805,10,2.0990764063812004
100,2,first,22,7,1.732673267326736,8,1.9801980198019842
100,2,first,23,17,2.1510818676451926,9,1.1388080475768667
100,2,first,24,6,2.0026702269693053,4,1.3351134846462034
100,2,first,25,9,1.686656671664164,7,1.3118440779610163
100,2,first,26,17,1.9484240687679095,12,1.3753581661891126
100,2,first,27,5,2.9086678301337607,3,1.7452006980802564
100,2,first,28,17,2.1645021645021685,6,0.7639419404125302
100,2,first,29,6,1.7947950942267406,3,0.8973975471133703
100,2,first,30,6,2.598527501082723,4,1.732351667388482
100,3,second,1,9,2.7190332326284086,7,2.114803625377651
100,3,second,2,9,3.0938466827088282,9,3.0938466827088282
100,3,second,3,8,2.798181182231541,4,1.3990905911157705
100,3,second,4,8,2.860207365033968,6,2.145155523775476
100,3,second,5,7,3.501750875437727,3,1.5007503751875975
100,3,second,6,7,2.24,6,1.92
100,3,second,7,12,3.087213789554926,9,2.3154103421661945
100,3,second,8,4,1.3201320132013197,7,2.3102310231023093
100,3,second,9,7,2.4398745207389334,4,1.394214011850819
100,3,second,10,6,2.0161290322580605,5,1.680107526881717
100,3,second,11,4,1.74825174825174,7,3.059440559440545
100,3,second,12,5,2.7964205816555086,3,1.677852348993305
100,3,second,13,3,2.196193265007298,4,2.9282576866763974
100,3,second,14,6,2.4927295388450244,7,2.9081844619858614
100,3,second,15,11,2.646775745909543,11,2.646775745909543
100,3,second,16,16,2.0814361909717713,10,1.300897619357357
100,3,second,17,6,1.4364376346660308,11,2.633468996887723
100,3,second,18,8,2.1828103683492546,7,1.9099590723055977
100,3,second,19,7,1.5716210148181382,7,1.5716210148181382
100,3,second,20,5,3.084515731030224,4,2.4676125848241792
100,3,second,21,9,1.2,10,1.3333333333333333
100,3,second,22,11,2.8004073319755625,6,1.5274949083503067
100,3,second,23,11,2.1568627450980387,9,1.7647058823529407
