cube,x,y,figure
cube1,285.15,606.27,left
cube1,220.91,604.45,left
cube1,207.0,570.5,left
cube1,217.6,514.8,left
cube1,280.0,513.85,left
cube1,295.45,546.58,left
cube8B,800.19,316.41,right
cube8B,850.47,283.08000000000004,right
cube8B,876.96,282.58000000000004,right
cube8B,827.46,316.92,right
cube8A,855.5,373.2,right
cube8A,826.96,373.48,right
cube8A,800.19,316.41,right
cube8A,826.96,316.67,right
cube7B,827.72,317.17,right
cube7B,875.95,283.08000000000004,right
cube7B,902.71,284.6,right
cube7B,854.74,318.69,right
cube7A,881.76,373.99,right
cube7A,854.74,373.73,right
cube7A,826.45,316.41,right
cube7A,854.48,318.18,right
cube6A,882.26,373.99,right
cube6A,854.99,319.19,right
cube6A,902.21,284.85,right
cube6A,933.5,285.4,right
cube6A,963.32,341.66,right
cube6A,911.3,374.74,right
cube5B,937.56,429.08,right
cube5B,910.38,429.08,right
cube5B,883.0,374.2,right
cube5B,910.55,374.72,right
cube5A,937.11,429.11,right
cube5A,910.32,375.33,right
cube5A,961.8,342.7,right
cube5A,989.81,397.6,right
cube4B,968.9,485.17,right
cube4B,939.1,483.66,right
cube4B,911.58,429.11,right
cube4B,938.87,429.11,right
cube4A,967.64,484.92,right
cube4A,938.09,429.11,right
cube4A,990.87,395.78,right
cube4A,1019.4,451.59,right
cube3,998.44,540.47,right
cube3,1049.2,508.91,right
cube3,1018.64,452.34,right
cube3,968.39,484.92,right
cube2B,917.92,517.24,right
cube2B,890.87,513.96,right
cube2B,940.11,483.15,right
cube2B,968.39,484.16,right
cube2A,948.7,573.05,right
cube2A,998.19,540.47,right
cube2A,968.39,483.66,right
cube2A,916.88,516.23,right
cube1,867.64,606.02,right
cube1,897.44,606.53,right
cube1,948.95,572.94,right
cube1,918.14,515.88,right
cube1,890.87,514.11,right
cube1,838.6,548.45,right
cube10,415.99,318.69,left
cube10,401.85,284.85,left
cube10,410.69,230.04999999999995,left
cube10,474.57,231.57000000000005,left
cube10,489.72,264.9,left
cube10,480.63,318.69,left
cube9,406.64,376.01,left
cube9,470.78,377.52,left
cube9,480.13,318.69,left
cube9,417.0,317.68,left
cube2A,217.64,514.9200000000001,left
cube2A,201.98,483.1,left
cube2A,266.62,483.6,left
cube2A,279.5,513.9100000000001,left
cube8B,354.88,317.42,left
cube8B,341.24,286.11,left
cube8B,402.6,286.11,left
cube8B,417.25,318.94,left
cube8A,346.04,375.75,left
cube8A,407.15,375.75,left
cube8A,417.25,317.68,left
cube8A,354.37,317.17,left
cube7B,294.53,317.42,left
cube7B,278.37,284.09000000000003,left
cube7B,340.99,285.61,left
cube7B,356.39,318.94,left
cube7A,284.4,374.2,left
cube7A,345.8,374.7,left
cube7A,356.14,317.68,left
cube7A,294.3,317.9,left
cube6A,284.68,372.72,left
cube6A,293.26,317.17,left
cube6A,278.11,283.59000000000003,left
cube6A,215.24,283.33000000000004,left
cube6A,206.4,338.89,left
cube6A,221.55,370.2,left
cube5B,211.83,425.73,left
cube5B,221.93,369.42,left
cube5B,207.03,338.86,left
cube5B,197.18,389.87,left
cube5A,212.29,425.95,left
cube5A,221.13,369.98,left
cube5A,284.68,372.08,left
cube5A,276.26,427.63,left
cube4B,201.77,480.87,left
cube4B,187.46,448.47,left
cube4B,197.77,394.39,left
cube4B,212.5,425.53,left
cube4A,201.98,482.14,left
cube4A,212.71,425.95,left
cube4A,276.05,427.84,left
cube4A,265.95,484.66,left
cube3,192.27,537.36,left
cube3,177.54,505.97,left
cube3,188.06,449.16,left
cube3,202.44,480.55,left
cube2B,206.47,569.98,left
cube2B,192.44,537.36,left
cube2B,202.61,481.6,left
cube2B,217.87,513.87,left
cube10,771.41,314.9,right
cube10,742.39,259.85,right
cube10,794.38,225.76,right
cube10,823.68,227.01999999999998,right
cube10,851.73,281.82000000000005,right
cube10,800.45,316.41,right
cube9,827.46,373.48,right
cube9,799.94,372.72,right
cube9,770.9,314.9,right
cube9,799.18,315.4,right
