cube,x,y,figure
cube3B,255.51,548.67,left
cube3B,283.09,491.09,left
cube3B,227.33,471.09,left
cube3B,200.36,528.6700000000001,left
cube10,822.87,236.89999999999998,right
cube10,918.82,283.36,right
cube10,914.8,235.39999999999998,right
cube10,874.13,215.94000000000005,right
cube9B,812.52,277.79999999999995,right
cube9B,771.86,257.85,right
cube9B,824.38,237.14999999999998,right
cube9B,862.01,256.84000000000003,right
cube9A,815.55,336.64,right
cube9A,776.41,318.71,right
cube9A,772.37,258.11,right
cube9A,813.02,277.79999999999995,right
cube8B,812.77,278.05999999999995,right
cube8B,862.01,256.84000000000003,right
cube8B,900.9,274.27,right
cube8B,852.41,297.5,right
cube8A,857.46,355.83,right
cube8A,816.05,335.38,right
cube8A,813.27,278.80999999999995,right
cube8A,852.16,297.25,right
cube7B,851.7,297.8,right
cube7B,900.9,274.77,right
cube7B,941.8,294.22,right
cube7B,889.03,316.19,right
cube7A,895.85,375.27,right
cube7A,858.0,355.1,right
cube7A,852.41,297.25,right
cube7A,890.54,314.17,right
cube6A,934.48,391.44,right
cube6A,894.33,371.99,right
cube6A,890.8,314.42,right
cube6A,941.3,294.5,right
cube6A,982.71,313.41,right
cube6A,988.52,369.72,right
cube5B,942.1,449.67,right
cube5B,900.19,428.62,right
cube5B,895.81,372.16,right
cube5B,934.91,390.57,right
cube5A,941.47,450.19,right
cube5A,934.81,390.22,right
cube5A,987.76,369.18,right
cube5A,993.9,426.87,right
cube4B,948.0,507.2,right
cube4B,905.7,486.32,right
cube4B,900.79,429.85,right
cube4B,941.47,449.49,right
cube4A,948.17,505.72,right
cube4A,941.64,449.96,right
cube4A,993.12,427.15,right
cube4A,998.67,485.99,right
cube3,953.85,566.12,right
cube3,1005.19,544.44,right
cube3,998.67,485.1,right
cube3,948.1,504.7,right
cube2B,896.35,527.44,right
cube2B,857.97,508.25,right
cube2B,907.21,486.79,right
cube2B,947.3,506.9,right
cube2A,903.42,587.29,right
cube2A,953.92,565.8199999999999,right
cube2A,947.86,505.73,right
cube2A,897.36,526.4300000000001,right
cube1,851.15,608.5,right
cube1,903.93,586.78,right
cube1,896.35,527.44,right
cube1,857.72,508.25,right
cube1,805.44,530.47,right
cube1,810.75,589.56,right
cube10B,300.84,262.41999999999996,left
cube10B,321.55,281.11,left
cube10B,348.82,224.03999999999996,left
cube10B,326.09,204.60000000000002,left
cube10A,244.53,239.95000000000005,left
cube10A,270.29,183.64,left
cube10A,326.85,204.60000000000002,left
cube10A,300.59,263.94000000000005,left
cube9,293.52,338.69,left
cube9,236.95,319.49,left
cube9,215.49,299.29,left
cube9,244.28,239.70000000000005,left
cube9,300.59,263.44000000000005,left
cube9,320.79,280.86,left
cube8B,293.01,338.69,left
cube8B,319.78,281.36,left
cube8B,341.75,300.3,left
cube8B,315.49,357.62,left
cube8A,314.22,356.87,left
cube8A,292.76,338.43,left
cube8A,237.5,319.5,left
cube8A,258.67,338.18,left
cube7B,314.73,357.88,left
cube7B,342.0,300.3,left
cube7B,362.45,318.74,left
cube7B,335.44,377.57,left
cube7A,279.12,357.37,left
cube7A,258.42,337.93,left
cube7A,315.23,357.88,left
cube7A,335.18,378.08,left
cube6A,334.93,377.83,left
cube6A,362.2,318.48,left
cube6A,384.93,338.18,left
cube6A,357.4,396.76,left
cube5B,309.43,433.88,left
cube5B,330.89,453.58,left
cube5B,357.4,396.01,left
cube5B,335.69,377.57,left
cube5A,253.37,412.67,left
cube5A,279.88,356.87,left
cube5A,335.69,378.08,left
cube5A,310.18,434.64,left
cube4,226.85,471.0,left
cube4,308.67,501.56,left
cube4,331.14,453.33,left
cube4,308.67,433.88,left
cube4,253.37,412.42,left
cube3A,269.45,567.15,left
cube3A,219.15,548.67,left
cube3A,199.15,528.06,left
cube3A,255.51,548.67,left
cube2B,255.21,549.88,left
cube2B,282.48,492.0,left
cube2B,336.42,512.31,left
cube2B,309.15,569.58,left
cube2A,324.6,588.97,left
cube2A,270.66,567.15,left
cube2A,255.51,549.58,left
cube2A,308.54,570.1800000000001,left
cube1,385.66,613.12,left
cube1,413.54,552.52,left
cube1,389.9,531.61,left
cube1,336.57,511.31,left
cube1,309.0,570.7,left
cube1,325.66,589.48,left
