cube,x,y,figure
cube9A,192.49,263.28999999999996,left
cube9A,207.29,253.09000000000003,left
cube9A,269.69,264.89,left
cube9A,254.39,275.28999999999996,left
cube10,756.36,350.2,right
cube10,808.2,339.21,right
cube10,805.3,275.13,right
cube10,767.15,263.11,right
cube10,715.1,274.72,right
cube10,717.6,339.2,right
cube9B,805.72,275.34000000000003,right
cube9B,768.4,263.29999999999995,right
cube9B,819.82,252.32000000000005,right
cube9B,856.73,265.17999999999995,right
cube9A,860.67,327.8,right
cube9A,808.41,339.0,right
cube9A,805.72,274.92999999999995,right
cube9A,857.14,265.39,right
cube8B,857.43,265.57000000000005,right
cube8B,819.69,252.29999999999995,right
cube8B,870.7,240.07000000000005,right
cube8B,910.9,252.5,right
cube8A,860.51,327.28,right
cube8A,857.49,264.78,right
cube8A,910.6,252.60000000000002,right
cube8A,913.07,314.75,right
cube8A,262.19,326.99,left
cube8A,269.54,264.64,left
cube8A,288.4,251.82000000000005,left
cube8A,280.77,313.6,left
cube7A,191.66,377.24,left
cube7A,196.48,343.89,left
cube7A,230.54,349.76,left
cube7A,262.49,326.26,left
cube7A,254.21,388.47,left
cube7A,823.21,375.95,right
cube7A,822.21,336.13,right
cube7A,913.78,314.49,right
cube7A,915.77,375.2,right
cube7A,862.02,386.9,right
cube6A,864.6,451.8,right
cube6A,826.3,440.7,right
cube6A,823.58,375.23,right
cube6A,862.64,386.17,right
cube7B,254.62,388.06,left
cube7B,262.34,327.35,left
cube7B,280.5,313.42,left
cube7B,272.79,376.12,left
cube5B,254.36,388.19,left
cube5B,272.5,375.95,left
cube5B,331.97,386.32,left
cube5B,315.99,400.14,left
cube9B,248.15,337.73,left
cube9B,253.68,274.84000000000003,left
cube9B,269.75,264.47,left
cube9B,262.49,326.5,left
cube8B,269.3,264.70000000000005,left
cube8B,207.2,253.0,left
cube8B,224.4,240.10000000000002,left
cube8B,288.8,251.79999999999995,left
cube1B,983.77,609.55,right
cube1B,943.79,597.56,right
cube1B,942.11,533.5899999999999,right
cube1B,981.04,544.95,right
cube1A,983.73,609.38,right
cube1A,980.99,544.36,right
cube1A,1034.65,533.63,right
cube1A,1036.97,597.39,right
cube1A,351.74,597.98,left
cube1A,415.39,609.03,left
cube1A,423.28,543.97,left
cube1A,360.15,532.5799999999999,left
cube3,939.7,473.0,right
cube3,978.5,483.7,right
cube3,1032.5,472.5,right
cube3,1030.2,409.2,right
cube3,988.8,396.9,right
cube3,937.86,409.68,right
cube10,166.73,338.84,left
cube10,229.86,350.06,left
cube10,248.27,336.91,left
cube10,254.06,275.36,left
cube10,192.86,263.44000000000005,left
cube10,174.8,275.17999999999995,left
cube6A,183.9,441.4,left
cube6A,246.75,452.24,left
cube6A,254.7,388.2,left
cube6A,191.45,377.5,left
cube3,367.5,473.5,left
cube3,430.3,483.97,left
cube3,449.1,471.3,left
cube3,457.1,408.9,left
cube3,394.2,397.9,left
cube3,375.8,411.3,left
cube5B,899.68,398.98,right
cube5B,950.22,386.02,right
cube5B,915.5,375.6,right
cube5B,861.81,386.31,right
cube5A,902.27,462.93,right
cube5A,864.4,451.7,right
cube5A,862.38,386.61,right
cube5A,899.97,398.7,right
cube4B,315.6,400.1,left
cube4B,331.42,386.67,left
cube4B,393.92,397.67,left
cube4B,375.62,411.37,left
cube5A,308.13,463.5,left
cube5A,246.35,451.98,left
cube5A,254.7,387.9,left
cube5A,315.8,399.9,left
cube4B,937.8,409.8,right
cube4B,988.5,396.7,right
cube4B,950.0,385.9,right
cube4B,899.8,398.0,right
cube4A,940.01,473.3,right
cube4A,902.16,462.24,right
cube4A,900.3,398.3,right
cube4A,937.9,409.8,right
cube4A,367.46,473.58,left
cube4A,308.1,463.3,left
cube4A,315.6,400.2,left
cube4A,375.9,411.1,left
cube2B,981.03,545.04,right
cube2B,942.15,533.64,right
cube2B,939.73,472.98,right
cube2B,978.09,483.87,right
cube2B,423.07,544.14,left
cube2B,360.0,532.3399999999999,left
cube2B,367.3,473.54,left
cube2B,430.72,483.56,left
cube2A,980.62,544.89,right
cube2A,978.32,483.84,right
cube2A,1032.6,472.6,right
cube2A,1034.55,533.99,right
cube2A,422.78,544.1800000000001,left
cube2A,430.2,484.1,left
cube2A,449.1,471.1,left
cube2A,441.1,532.7,left
cube1B,415.21,609.33,left
cube1B,432.88,596.96,left
cube1B,440.96,532.8199999999999,left
cube1B,423.03,544.1800000000001,left
