stimulus,side,figure,cube,x,y,z
1,left,M1,6,100.312,-18.23,106.32
1,left,M1,2,95.046,-13.385,118.437
1,left,M1,3,96.011,-17.87,118.896
1,left,M1,4,97.478,-17.993,114.606
1,left,M1,5,98.949,-18.116,110.306
1,left,M1,1,94.071,-8.851,117.974
1,left,M1,7,96.219,-19.25,104.949
1,left,M1,8,92.044,-20.291,103.551
1,left,M1,9,87.942,-21.314,102.178
1,left,M1,10,88.896,-25.745,102.631
1,right,M1,6,86.156,30.726,106.32
1,right,M1,2,89.447,24.372,118.437
1,right,M1,3,90.074,28.917,118.896
1,right,M1,4,88.737,29.534,114.606
1,right,M1,5,87.398,30.152,110.306
1,right,M1,1,88.813,19.779,117.974
1,right,M1,7,90.351,30.285,104.949
1,right,M1,8,94.63,29.835,103.551
1,right,M1,9,98.834,29.393,102.178
1,right,M1,10,99.454,33.884,102.631
2,left,M2,6,89.709,-13.765,103.242
2,left,M2,2,88.644,-12.829,117.406
2,left,M2,3,86.128,-16.292,116.014
2,left,M2,4,87.317,-15.453,111.775
2,left,M2,5,88.503,-14.616,107.545
2,left,M2,1,91.217,-9.288,118.828
2,left,M2,7,93.217,-16.491,103.686
2,left,M2,8,96.587,-19.111,104.112
2,left,M2,9,100.134,-21.868,104.561
2,left,M2,10,97.645,-25.294,103.185
2,right,M1,6,100.312,25.77,106.32
2,right,M1,2,95.046,30.615,118.437
2,right,M1,3,96.011,26.13,118.896
2,right,M1,4,97.478,26.007,114.606
2,right,M1,5,98.949,25.884,110.306
2,right,M1,1,94.071,35.149,117.974
2,right,M1,7,96.219,24.75,104.949
2,right,M1,8,92.044,23.709,103.551
2,right,M1,9,87.942,22.686,102.178
2,right,M1,10,88.896,18.255,102.631
3,left,M2,6,91.296,-10.787,105.018
3,left,M2,2,100.976,-15.288,114.433
3,left,M2,3,97.6,-13.339,116.684
3,left,M2,4,95.508,-12.492,112.812
3,left,M2,5,93.42,-11.647,108.948
3,left,M2,1,104.428,-17.281,112.132
3,left,M2,7,89.204,-14.722,105.288
3,left,M2,8,87.193,-18.503,105.547
3,left,M2,9,85.078,-22.482,105.82
3,left,M2,10,81.739,-20.555,108.046
3,right,M1,6,93.733,30.259,102.252
3,right,M1,2,85.34,31.664,113.46
3,right,M1,3,88.76,34.743,113.738
3,right,M1,4,90.456,33.213,109.82
